🔴🟡🟢;Ampel, Koalition, rot-gelb-grün
👁️👄👁️; eyes, lips, astonished
(ಠ_ಠ);skeptical face
(ಠ ͜ʖ ಠ); pervert
¯\_(ツ)_/¯;shrug, dont care
┏(-_-)┛┗(-_-)┓┗(-_-)┛┏(-_-)┓;robot dance party
(╯°□°)--︻╦╤─ - - -;gun, shoot
(╥﹏╥);sob cry
[♥]]] [♦]]] [♣]]] [♠]]]; cards
ლ(ಠ_ಠლ)╯; skeptical what why
(╯°□°）╯︵ ┻━┻; tableflip
┻━┻︵ \\(°□°)\/ ︵ ┻━┻;tableflip
(ノಠ_ಠ)ノ彡︵ ┻━┻︵ ┻━┻;tableflip
┬─┬ノ(ಠ_ಠノ);tableflip reverse, settle down
♪ ┏(°.°)┛┗(°.°)┓┗(°.°)┛┏(°.°)┓ ♪; dance music party
༼つ ◕_◕ ༽つ; gimme want
ᕦ(ò_óˇ)ᕤ;strong
(ಠ_ಠ)┌∩┐;fu, middle finger
